HomeTeam,AwayTeam,FTHG,FTAG,HST,AST,HC,AC,B365>2.5,B365<2.5,Season,P>2.5,P<2.5,RATING_H_DEF,RATING_H_OFF,RATING_A_DEF,RATING_A_OFF
Man City,Wolves,0,2,2,2,9,1,1.36,3.2,2019-20,0.7019736713615323,0.2980263286384677,5.249126986534528,15.698977524154284,4.490256957571495,13.408252554332108
Southampton,Chelsea,1,4,3,7,3,4,1.72,2.1,2019-20,0.5577044332383762,0.44229556676162385,10.167318339335655,7.652701996654372,9.182624446829887,7.18213244667291
Newcastle,Man United,1,0,2,3,4,6,2.2,1.66,2019-20,0.4277382641742051,0.5722617358257949,9.781547766123559,4.1758442121719845,8.713985028534774,4.042939554027294
Everton,West Ham,2,0,10,4,11,2,1.72,2.1,2019-20,0.5596313121960604,0.44036868780393956,7.253573421471443,13.362403795380727,6.38413409356485,12.153217151634475
Aston Villa,Brighton,2,1,8,5,7,5,1.8,2.0,2019-20,0.5349850794197849,0.4650149205802151,12.437073977699187,9.548210709485843,10.908620044257122,9.20089562560424
Bournemouth,Norwich,0,0,2,1,6,7,1.4,3.0,2019-20,0.6899125962273723,0.31008740377262767,11.097447414196868,7.024819180869284,10.25002076196105,6.223128411449425
Chelsea,Newcastle,1,0,8,0,11,0,1.57,2.37,2019-20,0.6022053506472821,0.3977946493527179,3.7813132560882767,13.746651431571351,3.4049201858943254,11.77038197431268
Leicester,Burnley,2,1,3,4,9,4,1.9,1.9,2019-20,0.5016410391868991,0.49835896081310094,5.743754261609772,11.973774077788889,5.197282163741089,9.835521902818085
Tottenham,Watford,1,1,2,2,11,2,1.53,2.5,2019-20,0.6323717823155205,0.3676282176844795,11.314422567486668,8.658950389345382,10.170178776317393,8.856908936527175
Wolves,Southampton,1,1,1,5,1,3,2.1,1.72,2019-20,0.45347158711766494,0.5465284128823351,9.06176747001582,4.634445641661469,8.429067913751812,3.9314862154220744
Crystal Palace,Man City,0,2,2,10,1,8,1.44,2.75,2019-20,0.6644678424269234,0.33553215757307664,8.696670003136347,6.733142666907059,8.03493958456412,5.315398055078496
Man United,Liverpool,1,1,2,4,3,1,1.72,2.1,2019-20,0.5572754197304972,0.4427245802695028,6.1767370246737245,8.478455831599195,5.748289676377881,7.357381130305196
